,Year,Day,Month,Rates
219,1874,12,Jun,6.0
220,1874,10,July,5.0
221,1874,17,July,4.5
222,1874,24,July,4.0
223,1874,31,July,3.5
224,1874,21,Aug,3.0
225,1874,25,Sep,4.0
226,1874,29,Sep,5.0
227,1874,14,Oct,6.0
228,1874,18,Oct,7.0
229,1874,1,Nov,8.0
230,1874,7,Nov,9.0
231,1874,20,Nov,8.0
232,1874,27,Nov,6.0
233,1874,4,Dec,5.0
234,1874,11,Dec,4.5
235,1874,8,Jan,4.0
236,1875,15,Jan,3.5
237,1875,30,Apr,4.0
238,1875,28,May,3.5
239,1875,4,Jun,3.0
240,1875,18,Jun,2.5
241,1875,30,July,3.0
242,1875,6,Aug,4.0
243,1875,20,Aug,3.5
244,1875,27,Aug,3.0
245,1875,15,Oct,4.0
246,1875,16,Nov,5.0
247,1875,30,Nov,6.0
248,1875,7,Jan,5.0
249,1876,14,Jan,4.0
250,1876,28,Jan,3.0
251,1876,18,Feb,3.5
252,1876,8,Jul,3.0
253,1876,29,Jul,2.5
254,1876,12,Aug,2.0
255,1876,7,Oct,2.5
256,1876,14,Oct,3.5
257,1876,21,Oct,4.0
258,1876,18,Nov,3.0
259,1876,30,Dec,4.0
260,1876,6,Jan,5.0
261,1877,27,Jan,4.0
262,1877,23,Mar,3.5
263,1877,6,Apr,3.0
264,1877,20,Apr,2.0
265,1877,3,May,3.0
266,1878,5,Jul,2.5
267,1878,12,Jul,2.0
268,1878,28,Aug,3.0
269,1878,4,Oct,4.0
270,1878,11,Oct,5.0
271,1878,29,Nov,4.0
272,1878,10,Jan,3.0
273,1879,31,Jan,2.0
274,1879,28,Mar,3.0
275,1879,30,May,2.5
276,1879,27,Jun,3.0
277,1879,4,Jul,3.2
278,1879,1,Aug,4.0
279,1879,12,Aug,5.0
280,1879,14,Oct,6.0
281,1879,21,Nov,5.0
282,1879,16,Jan,4.0
283,1880,30,Jan,3.0
284,1880,13,Mar,2.5
285,1880,10,Apr,2.0
286,1880,6,Nov,3.0
287,1880,17,Jun,2.5
288,1881,9,Dec,3.0
289,1881,13,Jan,3.5
290,1882,17,Feb,3.0
291,1882,28,Apr,2.5
292,1882,18,Aug,3.0
293,1882,25,Aug,4.0
294,1882,6,Oct,5.0
295,1882,30,Jan,6.0
296,1883,23,Feb,5.0
297,1883,9,Mar,4.0
298,1883,23,Mar,3.0
299,1883,17,Aug,4.0
300,1883,14,Sep,5.0
301,1883,25,Jan,4.0
302,1884,15,Feb,3.5
303,1884,1,Mar,3.0
304,1884,10,May,4.0
305,1884,13,Sep,3.5
306,1884,27,Sep,3.0
307,1884,7,Feb,3.5
308,1885,13,Mar,3.0
309,1885,3,Apr,2.5
310,1885,19,June,2.0
311,1885,9,Oct,3.0
312,1885,30,Oct,4.0
313,1885,6,Nov,5.0
314,1885,29,Jan,4.0
315,1886,19,Mar,3.5
316,1886,7,May,3.0
317,1886,14,May,2.5
318,1886,28,May,2.0
319,1886,12,Nov,3.0
320,1886,17,Dec,4.0
321,1886,21,Jan,3.0
322,1887,18,Feb,2.0
323,1887,6,May,3.0
324,1887,10,June,2.5
325,1887,26,Aug,3.5
326,1887,21,Oct,4.0
327,1887,16,Dec,5.0
328,1887,3,Feb,4.0
329,1888,10,Mar,3.5
330,1888,24,Mar,3.0
331,1888,14,Apr,2.5
332,1888,28,Apr,2.0
333,1888,4,Aug,3.0
334,1888,1,Sep,4.0
335,1888,12,Jan,3.5
336,1889,19,Jan,3.0
